id,name,slug,city,state,phone,rating,reviews,place_id,location_reviews_link,reviews_link,latitude,longitude,site,email_1,verified,created_at,updated_at
007363a6-fdc5-4001-ae39-070d4b3624b9,AIRZONE LLC,airzone-llc,Alabaster,Alabama,+1 205-281-8385,5,14,ChIJGTj3csMviYgR1bqIgtjFr9E,"https://www.google.com/maps/place/AIRZONE+LLC/@33.1682087,-86.7905722,13.99z/data=!4m16!1m7!3m6!1s0x88892fc372f73819:0xd1afc5d88288bad5!2sAIRZONE+LLC!8m2!3d33.1682087!4d-86.7905722!16s%2Fg%2F11ckvg1dmb!3m7!1s0x88892fc372f73819:0xd1afc5d88288bad5!8m2!3d33.1682087!4d-86.7905722!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",,33.1682087,-86.7905722,https://airzonellc.com/,airzonehvacandrefridgeration@gmail.com,True,2025-05-14T07:36:56.426Z,
9cda9aaa-a3e4-45b3-b6e9-5df3c4a6bba9,L&S Heating and Cooling,ls-heating-and-cooling,Alabaster,Alabama,+1 205-728-3035,5,22,ChIJDXSCow4piYgRJOVsWWdFMW8,"https://www.google.com/maps/place/L%26S+Heating+and+Cooling/@33.1955038,-86.8389153,13.99z/data=!4m16!1m7!3m6!1s0x8889290ea382740d:0x6f314567596ce524!2sL%26S+Heating+and+Cooling!8m2!3d33.1955038!4d-86.8389153!16s%2Fg%2F11ckvg1dmb!3m7!1s0x8889290ea382740d:0x6f314567596ce524!8m2!3d33.1955038!4d-86.8389153!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",,33.1955038,-86.8389153,,,False,2025-05-14T07:36:56.426Z,
0f17a7c3-0729-412b-938b-fe01793fc954,"Ready Heating and Air, LLC",ready-heating-and-air-llc,Alabaster,Alabama,+1 205-709-7255,2.9,15,ChIJ92bjvsgviYgRdb3kenDw30M,"https://www.google.com/maps/place/Ready+Heating+and+Air%2C+LLC/@33.189299999999996,-86.7909446,13.99z/data=!4m16!1m7!3m6!1s0x88892fc8bee366f7:0x43dff0707ae4bd75!2sReady+Heating+and+Air%2C+LLC!8m2!3d33.189299999999996!4d-86.7909446!16s%2Fg%2F11ckvg1dmb!3m7!1s0x88892fc8bee366f7:0x43dff0707ae4bd75!8m2!3d33.189299999999996!4d-86.7909446!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",,33.1893,-86.7909446,,readyheatingandair@yahoo.com,True,2025-05-14T07:36:56.426Z,
21bbe751-d6bc-4825-8020-e884c6d4c688,All Seasons Heating & Cooling,all-seasons-heating-cooling,Albertville,Alabama,+1 256-406-8068,4.5,37,ChIJ-6thtVsCiogR7tjwm-JrbZk,"https://www.google.com/maps/place/All+Seasons+Heating+%26+Cooling/@34.324133599999996,-86.22864779999999,13.99z/data=!4m16!1m7!3m6!1s0x888a025bb561abfb:0x996d6be29bf0d8ee!2sAll+Seasons+Heating+%26+Cooling!8m2!3d34.324133599999996!4d-86.22864779999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x888a025bb561abfb:0x996d6be29bf0d8ee!8m2!3d34.324133599999996!4d-86.22864779999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",,34.3241336,-86.2286478,https://www.alabamacomfort.com/,jim@alabamacomfort.com,True,2025-05-14T07:36:56.426Z,
751fdd9f-8478-4a78-a6e7-71d0325b3bc7,Advanced Heating & Air Pros - Alexander City,advanced-heating-air-pros-alexander-city,Alexander City,Alabama,+1 256-750-8804,4.6,27,ChIJRQOwXAsLjIgRt1BdLVkn2Vs,"https://www.google.com/maps/place/Advanced+Heating+%26+Air+Pros+-+Alexander+City/@32.9544722,-85.9849839,13.99z/data=!4m16!1m7!3m6!1s0x888c0b0b5cb00345:0x5bd927592d5d50b7!2sAdvanced+Heating+%26+Air+Pros+-+Alexander+City!8m2!3d32.9544722!4d-85.9849839!16s%2Fg%2F11ckvg1dmb!3m7!1s0x888c0b0b5cb00345:0x5bd927592d5d50b7!8m2!3d32.9544722!4d-85.9849839!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",,32.9544722,-85.9849839,https://advancedacpros.com/,mike.advancedheatingandac@gmail.com,True,2025-05-14T07:36:56.426Z,
6c24f7eb-ee1b-400c-af73-195498b35e4c,Jackson's Refrigeration LLC,jacksons-refrigeration-llc,Alexander City,Alabama,+1 256-234-4457,4.3,18,ChIJfZ28MZkLjIgRLGAgE4PXHBo,"https://www.google.com/maps/place/Jackson%27s+Refrigeration+LLC/@32.9431838,-85.9769268,13.99z/data=!4m16!1m7!3m6!1s0x888c0b9931bc9d7d:0x1a1cd7831320602c!2sJackson%27s+Refrigeration+LLC!8m2!3d32.9431838!4d-85.9769268!16s%2Fg%2F11ckvg1dmb!3m7!1s0x888c0b9931bc9d7d:0x1a1cd7831320602c!8m2!3d32.9431838!4d-85.9769268!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",,32.9431838,-85.9769268,http://a1fourseasons.com/,jacksonref@yahoo.com,True,2025-05-14T07:36:56.426Z,
478ec91c-d5a4-430f-af78-498264ebc8de,Byrd's Heating & Cooling,byrds-heating-cooling,Altoona,Alabama,+1 205-625-4227,5,19,ChIJS5GU6jWOiYgRuvpMtOAnsW0,"https://www.google.com/maps/place/Byrd%27s+Heating+%26+Cooling/@33.972128999999995,-86.399732,13.99z/data=!4m16!1m7!3m6!1s0x88898e35ea94914b:0x6db127e0b44cfaba!2sByrd%27s+Heating+%26+Cooling!8m2!3d33.972128999999995!4d-86.399732!16s%2Fg%2F11ckvg1dmb!3m7!1s0x88898e35ea94914b:0x6db127e0b44cfaba!8m2!3d33.972128999999995!4d-86.399732!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",,33.972129,-86.399732,,,True,2025-05-14T07:36:56.426Z,
18e836d5-5f06-4087-94d1-8c78b93d83b1,CAMCOR Heating and Cooling,camcor-heating-and-cooling,Altoona,Alabama,+1 256-677-1880,4.3,12,ChIJf-eAfaWSiYgR8Oarj3oMqmE,"https://www.google.com/maps/place/CAMCOR+Heating+and+Cooling/@34.0900975,-86.42696099999999,13.99z/data=!4m16!1m7!3m6!1s0x888992a57d80e77f:0x61aa0c7a8fabe6f0!2sCAMCOR+Heating+and+Cooling!8m2!3d34.0900975!4d-86.42696099999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x888992a57d80e77f:0x61aa0c7a8fabe6f0!8m2!3d34.0900975!4d-86.42696099999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",,34.0900975,-86.426961,,,False,2025-05-14T07:36:56.426Z,
fb438609-8834-4874-8d73-53962cefa6f3,Excel Electric Heating and Cooling,excel-electric-heating-and-cooling,Andalusia,Alabama,+1 334-746-6222,4.9,81,ChIJWe35VLdnigERkWFli6wucrU,"https://www.google.com/maps/place/Excel+Electric+Heating+and+Cooling/@31.3346199,-86.46792459999999,13.99z/data=!4m16!1m7!3m6!1s0x18a67b754f9ed59:0xb5722eac8b656191!2sExcel+Electric+Heating+and+Cooling!8m2!3d31.3346199!4d-86.46792459999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x18a67b754f9ed59:0xb5722eac8b656191!8m2!3d31.3346199!4d-86.46792459999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",,31.3346199,-86.4679246,http://www.excelehc.com/,excelelectricofalabama@gmail.com,True,2025-05-14T07:36:56.426Z,
2f65c1f1-10d2-49a9-9bd3-2345d1a9b7d0,Roger's Refrigeration,rogers-refrigeration,Andalusia,Alabama,+1 334-222-8977,4.3,61,ChIJ3c21_yDskYgRkInvIDUaB9g,"https://www.google.com/maps/place/Roger%27s+Refrigeration/@31.3030953,-86.4768089,13.99z/data=!4m16!1m7!3m6!1s0x8891ec20ffb5cddd:0xd8071a3520ef8990!2sRoger%27s+Refrigeration!8m2!3d31.3030953!4d-86.4768089!16s%2Fg%2F11ckvg1dmb!3m7!1s0x8891ec20ffb5cddd:0xd8071a3520ef8990!8m2!3d31.3030953!4d-86.4768089!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",,31.3030953,-86.4768089,http://www.myrogersrefrigeration.com/,r.knox@myrogersrefrigeration.com,True,2025-05-14T07:36:56.426Z,
