id,name,slug,city,state,phone,rating,reviews,place_id,reviews_link,predicted_label,r_30,r_60,r_90,r_365,first_review_date,parsed_working_hours,email_1,site,latitude,longitude,created_at,updated_at
007363a6-fdc5-4001-ae39-070d4b3624b9,AIRZONE LLC,airzone-llc,Alabaster,Alabama,+1 205-281-8385,5,14,ChIJGTj3csMviYgR1bqIgtjFr9E,"https://search.google.com/local/reviews?placeid=ChIJGTj3csMviYgR1bqIgtjFr9E&q=hvac,+Alabaster,+AL,+US&authuser=0&hl=en&gl=US",logo,2,3,4,14,11/2024,"{""monday"": ""24/7"", ""tuesday"": ""24/7"", ""wednesday"": ""24/7"", ""thursday"": ""24/7"", ""friday"": ""24/7"", ""saturday"": ""24/7"", ""sunday"": ""24/7""}",airzonehvacandrefridgeration@gmail.com,https://airzonellc.com/,33.1682087,-86.7905722,2025-05-14T07:36:56.426Z,
9cda9aaa-a3e4-45b3-b6e9-5df3c4a6bba9,L&S Heating and Cooling,ls-heating-and-cooling,Alabaster,Alabama,+1 205-728-3035,5,22,ChIJDXSCow4piYgRJOVsWWdFMW8,"https://search.google.com/local/reviews?placeid=ChIJDXSCow4piYgRJOVsWWdFMW8&q=hvac,+Alabaster,+AL,+US&authuser=0&hl=en&gl=US",not_logo,3,5,7,22,07/2024,"{""monday"": ""24/7"", ""tuesday"": ""24/7"", ""wednesday"": ""24/7"", ""thursday"": ""24/7"", ""friday"": ""24/7"", ""saturday"": ""24/7"", ""sunday"": ""Closed""}",,,33.1955038,-86.8389153,2025-05-14T07:36:56.426Z,
0f17a7c3-0729-412b-938b-fe01793fc954,"Ready Heating and Air, LLC",ready-heating-and-air-llc,Alabaster,Alabama,+1 205-709-7255,2.9,15,ChIJ92bjvsgviYgRdb3kenDw30M,"https://search.google.com/local/reviews?placeid=ChIJ92bjvsgviYgRdb3kenDw30M&q=hvac,+Alabaster,+AL,+US&authuser=0&hl=en&gl=US",not_logo,2,3,5,15,11/2024,"{""monday"": ""8AM-5PM"", ""tuesday"": ""8AM-5PM"", ""wednesday"": ""8AM-5PM"", ""thursday"": ""8AM-5PM"", ""friday"": ""8AM-5PM"", ""saturday"": ""Closed"", ""sunday"": ""Closed""}",readyheatingandair@yahoo.com,,33.1893,-86.7909446,2025-05-14T07:36:56.426Z,
21bbe751-d6bc-4825-8020-e884c6d4c688,All Seasons Heating & Cooling,all-seasons-heating-cooling,Albertville,Alabama,+1 256-406-8068,4.5,37,ChIJ-6thtVsCiogR7tjwm-JrbZk,"https://search.google.com/local/reviews?placeid=ChIJ-6thtVsCiogR7tjwm-JrbZk&q=hvac,+Albertville,+AL,+US&authuser=0&hl=en&gl=US",not_logo,5,9,12,37,12/2023,"{""monday"": ""24/7"", ""tuesday"": ""24/7"", ""wednesday"": ""24/7"", ""thursday"": ""24/7"", ""friday"": ""24/7"", ""saturday"": ""24/7"", ""sunday"": ""24/7""}",jim@alabamacomfort.com,https://www.alabamacomfort.com/,34.3241336,-86.2286478,2025-05-14T07:36:56.426Z,
751fdd9f-8478-4a78-a6e7-71d0325b3bc7,Advanced Heating & Air Pros - Alexander City,advanced-heating-air-pros-alexander-city,Alexander City,Alabama,+1 256-750-8804,4.6,27,ChIJRQOwXAsLjIgRt1BdLVkn2Vs,"https://search.google.com/local/reviews?placeid=ChIJRQOwXAsLjIgRt1BdLVkn2Vs&q=hvac,+Alexander+City,+AL,+US&authuser=0&hl=en&gl=US",logo,4,6,9,27,05/2024,"{""monday"": ""7AM-7PM"", ""tuesday"": ""7AM-7PM"", ""wednesday"": ""7AM-7PM"", ""thursday"": ""7AM-7PM"", ""friday"": ""7AM-7PM"", ""saturday"": ""8AM-5PM"", ""sunday"": ""12-5PM""}",mike.advancedheatingandac@gmail.com,https://advancedacpros.com/,32.9544722,-85.9849839,2025-05-14T07:36:56.426Z,
6c24f7eb-ee1b-400c-af73-195498b35e4c,Jackson's Refrigeration LLC,jacksons-refrigeration-llc,Alexander City,Alabama,+1 256-234-4457,4.3,18,ChIJfZ28MZkLjIgRLGAgE4PXHBo,"https://search.google.com/local/reviews?placeid=ChIJfZ28MZkLjIgRLGAgE4PXHBo&q=hvac,+Alexander+City,+AL,+US&authuser=0&hl=en&gl=US",logo,2,4,6,18,09/2024,"{""monday"": ""7AM-4PM"", ""tuesday"": ""7AM-4PM"", ""wednesday"": ""7AM-4PM"", ""thursday"": ""7AM-4PM"", ""friday"": ""7AM-4PM"", ""saturday"": ""Closed"", ""sunday"": ""Closed""}",jacksonref@yahoo.com,http://a1fourseasons.com/,32.9431838,-85.9769268,2025-05-14T07:36:56.426Z,
478ec91c-d5a4-430f-af78-498264ebc8de,Byrd's Heating & Cooling,byrds-heating-cooling,Altoona,Alabama,+1 205-625-4227,5,19,ChIJS5GU6jWOiYgRuvpMtOAnsW0,"https://search.google.com/local/reviews?placeid=ChIJS5GU6jWOiYgRuvpMtOAnsW0&q=hvac,+Altoona,+AL,+US&authuser=0&hl=en&gl=US",logo,2,4,6,19,09/2024,"{""monday"": ""7:30AM-5PM"", ""tuesday"": ""7:30AM-5PM"", ""wednesday"": ""7:30AM-5PM"", ""thursday"": ""7:30AM-5PM"", ""friday"": ""7:30AM-5PM"", ""saturday"": ""Closed"", ""sunday"": ""Closed""}",,,33.972129,-86.399732,2025-05-14T07:36:56.426Z,
18e836d5-5f06-4087-94d1-8c78b93d83b1,CAMCOR Heating and Cooling,camcor-heating-and-cooling,Altoona,Alabama,+1 256-677-1880,4.3,12,ChIJf-eAfaWSiYgR8Oarj3oMqmE,"https://search.google.com/local/reviews?placeid=ChIJf-eAfaWSiYgR8Oarj3oMqmE&q=hvac,+Altoona,+AL,+US&authuser=0&hl=en&gl=US",not_logo,1,3,4,12,12/2024,"{""monday"": ""7AM-8PM"", ""tuesday"": ""7AM-8PM"", ""wednesday"": ""7AM-8PM"", ""thursday"": ""7AM-8PM"", ""friday"": ""7AM-8PM"", ""saturday"": ""Closed"", ""sunday"": ""7AM-8PM""}",,,34.0900975,-86.426961,2025-05-14T07:36:56.426Z,
fb438609-8834-4874-8d73-53962cefa6f3,Excel Electric Heating and Cooling,excel-electric-heating-and-cooling,Andalusia,Alabama,+1 334-746-6222,4.9,81,ChIJWe35VLdnigERkWFli6wucrU,"https://search.google.com/local/reviews?placeid=ChIJWe35VLdnigERkWFli6wucrU&q=hvac,+Andalusia,+AL,+US&authuser=0&hl=en&gl=US",logo,12,20,28,81,02/2022,"{""monday"": ""24/7"", ""tuesday"": ""24/7"", ""wednesday"": ""24/7"", ""thursday"": ""24/7"", ""friday"": ""24/7"", ""saturday"": ""24/7"", ""sunday"": ""24/7""}",excelelectricofalabama@gmail.com,http://www.excelehc.com/,31.3346199,-86.4679246,2025-05-14T07:36:56.426Z,
2f65c1f1-10d2-49a9-9bd3-2345d1a9b7d0,Roger's Refrigeration,rogers-refrigeration,Andalusia,Alabama,+1 334-222-8977,4.3,61,ChIJ3c21_yDskYgRkInvIDUaB9g,"https://search.google.com/local/reviews?placeid=ChIJ3c21_yDskYgRkInvIDUaB9g&q=hvac,+Andalusia,+AL,+US&authuser=0&hl=en&gl=US",not_logo,9,15,21,61,12/2022,"{""monday"": ""7:30AM-4:30PM"", ""tuesday"": ""7:30AM-4:30PM"", ""wednesday"": ""7:30AM-4:30PM"", ""thursday"": ""7:30AM-4:30PM"", ""friday"": ""7:30AM-4:30PM"", ""saturday"": ""Closed"", ""sunday"": ""Closed""}",r.knox@myrogersrefrigeration.com,http://www.myrogersrefrigeration.com/,31.3030953,-86.4768089,2025-05-14T07:36:56.426Z,
